Unit 0 (Theory), Course Overview, `PPT <http://bigdataopensourceprojects.soic.indiana.edu/downloads/Unit_0.pptx>`_, TBD,
Unit 0.A, Class Inspiration. , `Video <https://mix.office.com/watch/m8ws5o61rndc>`_   , 0:04:51,
Unit 0.B, Class Overview and Course Content: Section 1, `Video <https://mix.office.com/watch/zu80e794e3fg>`_ , 0:18:02,
Unit 0.C, Course Content: Section 2, `Video <https://mix.office.com/watch/uuhscqlw7p97>`_  , 0:25:23  ,
,,,,
Unit 1, (Theory): Introduction, `Slides <http://bigdataopensourceprojects.soic.indiana.edu/downloads/Unit_1_Introduction.pptx>`_, ,
Unit 1.A, Introduction `, `Video <https://mix.office.com/watch/uokn8l6zg2gs>`_, 0:13:59   ,
Unit 1.B, Real World Big Data, `Video <https://mix.office.com/watch/wubmesnjclm2>`_, 0:15:28   ,
Unit 1.C, Basic Trends and Jobs, `Video <https://mix.office.com/watch/gy4zlt9a4yzc>`_, 0:12:24,
,,,,
Unit 5, Data Access Patterns and Introduction to using HPC ABDS,"`Slides <http://bigdataopensourceprojects.soic.indiana.edu/downloads/Unit_2.pptx>`_,",, 